final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.468,0.685,0.434,0.437,0.391,0.357
9,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.473,0.717,0.459,0.442,0.387,0.366
4,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.482,0.729,0.502,0.452,0.385,0.367
7,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.456,0.691,0.415,0.452,0.389,0.354
8,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.491,0.715,0.454,0.485,0.402,0.374
8,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.463,0.679,0.406,0.403,0.385,0.367
6,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.491,0.715,0.454,0.485,0.402,0.374
10,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.507,0.698,0.48,0.467,0.462,0.391
5,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.462,0.666,0.417,0.468,0.431,0.357
19,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.491,0.682,0.453,0.443,0.368,0.379
18,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.492,0.733,0.475,0.462,0.392,0.373
16,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.478,0.747,0.459,0.443,0.402,0.344
21,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.473,0.696,0.462,0.457,0.454,0.361
8,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.473,0.725,0.424,0.422,0.414,0.348
2,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.462,0.666,0.417,0.468,0.431,0.357
6,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.489,0.724,0.491,0.42,0.44,0.36
6,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.468,0.685,0.434,0.437,0.391,0.357
6,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.472,0.749,0.468,0.407,0.416,0.339
4,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.468,0.685,0.434,0.437,0.391,0.357
10,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.469,0.711,0.451,0.461,0.439,0.344
4,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.491,0.715,0.454,0.485,0.402,0.374
10,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.456,0.691,0.415,0.452,0.389,0.354
8,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.471,0.699,0.408,0.437,0.374,0.369
0,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.486,0.689,0.445,0.458,0.446,0.356
2,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.473,0.725,0.424,0.422,0.414,0.348
12,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.473,0.725,0.424,0.422,0.414,0.348
14,0.59,0.131,19.1,16.8,8.7,6.9,20.3,114.6,0.554,101.1,0.463,0.679,0.406,0.403,0.385,0.367
